身,U+8EAB
履,U+5C65
腔,U+8154
應,U+61C9
鴻,U+9D3B
猫,U+732B
激,U+6FC0
鮗,U+9B97
婚,U+5A5A
礒,U+7912
鯤,U+9BE4
禅,U+7985
罕,U+7F55
月,U+6708
倭,U+502D
衍,U+884D
榱,U+69B1
潤,U+6F64
老,U+8001
崑,U+5D11
彭,U+5F6D
畋,U+754B
躬,U+8EAC
敫,U+656B
瀉,U+7009
鬲,U+9B32
茘,U+8318
有,U+6709
型,U+578B
幹,U+5E79
剴,U+5274
袱,U+88B1
簧,U+7C27
莪,U+83AA
飛,U+98DB
固,U+56FA
絨,U+7D68
淫,U+6DEB
献,U+732E
謾,U+8B3E
爪,U+722A
朋,U+670B
耂,U+8002
婢,U+5A62
腕,U+8155
躯,U+8EAF
窖,U+7A96
閹,U+95B9
界,U+754C
屬,U+5C6C
崔,U+5D14
橈,U+6A48
鴾,U+9D3E
爬,U+722C
罘,U+7F58
火,U+706B
衒,U+8852
倶,U+5036
考,U+8003
茜,U+831C
懊,U+61CA
碪,U+78AA
竟,U+7ADF
妻,U+59BB
蕎,U+854E
波,U+6CE2
柧,U+67E7
東,U+6771
帖,U+5E16
悛,U+609B
滾,U+6EFE
煕,U+7155
痴,U+75F4
眈,U+7708
點,U+9EDE
貳,U+8CB3
輜,U+8F1C
胚,U+80DA
誂,U+8A82
浮,U+6D6E
瑠,U+7460
繊,U+7E4A
義,U+7FA9
綻,U+7DBB
匸,U+5338
螢,U+87A2
初,U+521D
鐡,U+9421
恂,U+6042
捌,U+634C
傴,U+50B4
擧,U+64E7
顔,U+9854
匹,U+5339
妾,U+59BE
楠,U+6960
泣,U+6CE3
鈩,U+9229
馴,U+99B4
鰤,U+9C24
帙,U+5E19
杲,U+6772
欝,U+6B1D
眉,U+7709
柩,U+67E9
鞫,U+97AB
判,U+5224
章,U+7AE0
輝,U+8F1D
胛,U+80DB
縉,U+7E09
区,U+533A
悟,U+609F
浴,U+6D74
痺,U+75FA
旙,U+65D9
虔,U+8654
信,U+4FE1
蟾,U+87FE
陋,U+964B
瓰,U+74F0
砒,U+7812
襭,U+896D
鶩,U+9DA9
芟,U+829F
托,U+6258
雎,U+96CE
弗,U+5F17
殷,U+6BB7
燎,U+71CE
厮,U+53AE
犠,U+72A0
徹,U+5FB9
箋,U+7B8B
蓼,U+84FC
龝,U+9F9D
咫,U+54AB
嶮,U+5DAE
冲,U+51B2
談,U+8AC7
藷,U+85F7
穃,U+7A43
慾,U+617E
謀,U+8B00
隗,U+9697
弘,U+5F18
俣,U+4FE3
處,U+8655
研,U+7814
芥,U+82A5
扛,U+625B
逼,U+903C
瓱,U+74F1
験,U+9A13
陌,U+964C
臨,U+81E8
雑,U+96D1
决,U+51B3
旛,U+65DB
殺,U+6BBA
蜷,U+8737
弛,U+5F1B
乗,U+4E57
仗,U+4ED7
篌,U+7BCC
録,U+9332
樂,U+6A02
髭,U+9AED
第,U+7B2C
郁,U+90C1
榲,U+69B2
覲,U+89B2
靠,U+9760
檮,U+6AAE
儉,U+5109
搖,U+6416
吟,U+541F
汪,U+6C6A
蒐,U+8490
赫,U+8D6B
譽,U+8B7D
餬,U+992C
佰,U+4F70
控,U+63A7
述,U+8FF0
付,U+4ED8
唹,U+5539
嬪,U+5B2A
郊,U+90CA
齏,U+9F4F
乘,U+4E58
暹,U+66B9
褌,U+890C
酬,U+916C
汰,U+6C70
笳,U+7B33
蛞,U+86DE
鴿,U+9D3F
吠,U+5420
錵,U+9335
蹣,U+8E63
仙,U+4ED9
榴,U+69B4
樅,U+6A05
驩,U+9A69
佳,U+4F73
篏,U+7BCF
靡,U+9761
迴,U+8FF4
搗,U+6417
惶,U+60F6
拑,U+62D1
晝,U+665D
癡,U+7661
成,U+6210
服,U+670D
珂,U+73C2
紗,U+7D17
創,U+5275
宇,U+5B87
嘯,U+562F
撤,U+64A4
遯,U+906F
霖,U+9716
彰,U+5F70
秩,U+79E9
專,U+5C08
濁,U+6FC1
聴,U+8074
梹,U+68B9
醺,U+91BA
攷,U+6537
躰,U+8EB0
腟,U+815F
鎰,U+93B0
舶,U+8236
罟,U+7F5F
奄,U+5944
寓,U+5BD3
瀋,U+700B
跿,U+8DFF
銹,U+92B9
譁,U+8B41
倹,U+5039
朏,U+670F
賦,U+8CE6
絮,U+7D6E
堤,U+5824
預,U+9810
拒,U+62D2
設,U+8A2D
溢,U+6EA2
植,U+690D
我,U+6211
守,U+5B88
晞,U+665E
惷,U+60F7
術,U+8853
紘,U+7D18
鑽,U+947D
薦,U+85A6
珈,U+73C8
攸,U+6538
剽,U+527D
壜,U+58DC
奇,U+5947
尉,U+5C09
橋,U+6A4B
籥,U+7C65
躱,U+8EB1
遲,U+9072
罠,U+7F60
秬,U+79EC
歩,U+6B69
疋,U+758B
桔,U+6854
泥,U+6CE5
禊,U+798A
