身,小学校３年生
激,小学校６年生
月,小学校１年生
老,小学校４年生
有,小学校３年生
型,"小学校４年生
※補足欄参照"
幹,小学校５年生
飛,小学校４年生
固,小学校４年生
界,小学校３年生
火,小学校１年生
考,小学校２年生
妻,小学校５年生
波,小学校３年生
東,小学校２年生
義,小学校５年生
初,小学校４年生
顔,小学校２年生
泣,小学校４年生
判,小学校５年生
章,小学校３年生
区,小学校３年生
浴,小学校４年生
信,小学校４年生
談,小学校３年生
研,小学校３年生
験,小学校４年生
臨,小学校６年生
雑,小学校５年生
殺,"小学校４年生
※補足欄参照"
乗,小学校３年生
録,小学校４年生
第,小学校３年生
述,小学校５年生
付,小学校４年生
成,小学校４年生
服,小学校３年生
創,小学校６年生
宇,小学校６年生
預,小学校５年生
設,小学校５年生
植,小学校３年生
我,小学校６年生
守,小学校３年生
術,小学校５年生
橋,小学校３年生
歩,小学校２年生
看,小学校６年生
文,小学校１年生
勝,小学校３年生
婦,小学校５年生
海,小学校２年生
注,小学校３年生
県,小学校３年生
国,小学校２年生
医,小学校３年生
灯,小学校４年生
姉,小学校２年生
幼,小学校６年生
灰,小学校６年生
走,小学校２年生
推,小学校６年生
境,小学校５年生
弟,小学校２年生
別,小学校４年生
否,小学校６年生
観,小学校４年生
改,小学校４年生
質,小学校５年生
街,小学校４年生
迷,小学校５年生
自,小学校２年生
尊,小学校６年生
象,"小学校４年生
※補足欄参照"
統,小学校５年生
許,小学校５年生
降,小学校６年生
九,小学校１年生
奈,※補足欄参照
深,小学校３年生
貴,小学校６年生
安,小学校３年生
茨,※補足欄参照
者,小学校３年生
麦,小学校２年生
桜,小学校５年生
紙,小学校２年生
歯,小学校３年生
態,小学校５年生
完,小学校４年生
級,小学校３年生
港,小学校３年生
食,小学校２年生
潮,小学校６年生
職,小学校５年生
墓,小学校５年生
綿,小学校５年生
始,小学校３年生
利,小学校４年生
山,小学校１年生
畑,小学校３年生
疑,小学校６年生
代,小学校３年生
傷,小学校６年生
厳,小学校６年生
至,小学校６年生
船,小学校２年生
願,小学校４年生
以,小学校４年生
際,小学校５年生
面,小学校３年生
決,小学校３年生
限,小学校５年生
冷,小学校４年生
確,小学校５年生
汽,小学校２年生
陛,小学校６年生
訳,小学校６年生
松,小学校４年生
漁,小学校４年生
災,小学校５年生
福,小学校３年生
修,小学校５年生
乱,小学校６年生
移,小学校５年生
放,小学校３年生
板,小学校３年生
乳,小学校６年生
役,小学校３年生
十,小学校１年生
千,小学校１年生
織,小学校５年生
入,小学校１年生
全,小学校３年生
駅,小学校３年生
朗,小学校６年生
岐,※補足欄参照
真,小学校３年生
郡,小学校４年生
柱,小学校３年生
衛,小学校５年生
花,小学校１年生
鉄,小学校３年生
犬,小学校１年生
留,小学校５年生
招,小学校５年生
令,小学校４年生
奏,小学校６年生
買,小学校２年生
欠,小学校４年生
積,小学校４年生
心,小学校２年生
増,小学校５年生
仮,小学校５年生
次,小学校３年生
起,小学校３年生
委,小学校３年生
貸,小学校５年生
使,小学校３年生
必,小学校４年生
政,小学校５年生
故,小学校５年生
追,小学校３年生
庁,小学校６年生
師,小学校５年生
裁,小学校６年生
歴,"小学校４年生
※補足欄参照"
消,小学校３年生
父,小学校２年生
去,小学校３年生
絵,小学校２年生
劇,小学校６年生
広,小学校２年生
米,小学校２年生
席,小学校４年生
障,小学校６年生
参,小学校４年生
素,小学校５年生
導,小学校５年生
犯,小学校５年生
日,小学校１年生
罪,小学校５年生
費,"小学校４年生
※補足欄参照"
旧,小学校５年生
宗,小学校６年生
商,小学校３年生
童,小学校３年生
状,小学校５年生
弱,小学校２年生
望,小学校４年生
誌,小学校６年生
泳,小学校３年生
批,小学校６年生
午,小学校２年生
朝,小学校２年生
鳥,小学校２年生
混,小学校５年生
俳,小学校６年生
輪,小学校４年生
勢,小学校５年生
