身,８級
履,準２級
腔,準１級
應,１級 / 準１級
鴻,準１級
猫,準２級
激,５級
鮗,１級
婚,４級
礒,１級
鯤,１級
禅,準２級
罕,１級
月,１０級
倭,準１級
衍,１級
榱,１級
潤,３級
老,７級
崑,１級
彭,１級
畋,１級
躬,１級
敫,対象外
瀉,１級
鬲,対象外
茘,１級
有,８級
型,"７級
※補足欄参照"
幹,６級
剴,１級
袱,１級
簧,１級
莪,１級
飛,７級
固,７級
絨,１級
淫,２級
献,準２級
謾,１級
爪,２級
朋,準１級
耂,対象外
婢,１級
腕,４級
躯,準１級
窖,１級
閹,１級
界,８級
屬,１級 / 準１級
崔,１級
橈,１級
鴾,１級
爬,１級
罘,１級
火,１０級
衒,１級
倶,準１級
考,９級
茜,準１級
懊,１級
碪,１級
竟,１級
妻,６級
蕎,準１級
波,８級
柧,対象外
東,９級
帖,準１級
悛,１級
滾,１級
煕,１級
痴,準２級
眈,１級
點,１級 / 準１級
貳,１級 / 準１級
輜,１級
胚,１級
誂,１級
浮,４級
瑠,２級
繊,準２級
義,６級
綻,２級
匸,対象外
螢,１級 / 準１級
初,７級
鐡,対象外
恂,１級
捌,準１級
傴,１級
擧,１級 / 準１級
顔,９級
匹,４級
妾,準１級
楠,準１級
泣,７級
鈩,対象外
馴,準１級
鰤,１級
帙,１級
杲,１級
欝,対象外
眉,２級
柩,１級
鞫,１級
判,６級
章,８級
輝,４級
胛,１級
縉,１級
区,８級
悟,３級
浴,７級
痺,１級
旙,対象外
虔,１級
信,７級
蟾,１級
陋,１級
瓰,１級
砒,１級
襭,１級
鶩,１級
芟,１級
托,準１級
雎,１級
弗,準１級
殷,１級
燎,１級
厮,１級
犠,３級
徹,準２級
箋,２級
蓼,１級
龝,準１級
咫,１級
嶮,１級
冲,対象外
談,８級
藷,準１級
穃,対象外
慾,準１級
謀,３級
隗,１級
弘,準１級
俣,準１級
處,１級 / 準１級
研,８級
芥,準１級
扛,１級
逼,準１級
瓱,１級
験,７級
陌,１級
臨,５級
雑,６級
决,対象外
旛,１級
殺,"７級
※補足欄参照"
蜷,１級
弛,準１級
乗,８級
仗,１級
篌,１級
録,７級
樂,１級 / 準１級
髭,準１級
第,８級
郁,準１級
榲,対象外
覲,１級
靠,１級
檮,準１級
儉,１級 / 準１級
搖,１級 / 準１級
吟,準２級
汪,１級
蒐,準１級
赫,準１級
譽,１級 / 準１級
餬,１級
佰,１級
控,３級
述,６級
付,７級
唹,１級
嬪,１級
郊,３級
齏,１級
乘,１級 / 準１級
暹,１級
褌,１級
酬,準２級
汰,２級
笳,１級
蛞,１級
鴿,１級
吠,準１級
錵,１級
蹣,１級
仙,準２級
榴,１級
樅,１級
驩,１級
佳,３級
篏,対象外
靡,１級
迴,１級
搗,１級
惶,１級
拑,１級
晝,１級 / 準１級
癡,１級 / 準１級
成,７級
服,８級
珂,準１級
紗,準１級
創,５級
宇,５級
嘯,１級
撤,準２級
遯,１級
霖,１級
彰,準２級
秩,準２級
專,１級 / 準１級
濁,４級
聴,３級
梹,対象外
醺,１級
攷,対象外
躰,対象外
腟,１級
鎰,１級
舶,準２級
罟,１級
奄,準１級
寓,準１級
瀋,１級
跿,１級
銹,１級
譁,１級
倹,３級
朏,１級
賦,４級
絮,１級
堤,４級
預,６級
拒,準２級
設,６級
溢,準１級
植,８級
我,５級
守,８級
晞,１級
惷,１級
術,６級
紘,準１級
鑽,１級
薦,準２級
珈,１級
攸,対象外
剽,１級
壜,１級
奇,４級
尉,準２級
橋,８級
籥,１級
躱,１級
遲,１級 / 準１級
罠,１級
秬,１級
歩,９級
疋,準１級
桔,準１級
泥,準２級
禊,１級
黠,１級
喨,１級
看,５級
文,１０級
勝,８級
袴,準１級
綽,１級
莫,準１級
麥,１級 / 準１級
礙,１級
淬,１級
箍,１級
萩,準１級
疎,準２級
瞬,４級
耄,１級
婦,６級
渮,対象外
擬,準２級
胝,１級
兜,準１級
斈,対象外
猯,１級
歪,準１級
纉,１級
海,９級
桙,１級
注,８級
県,８級
膰,１級
鷺,準１級
痼,１級
莱,準１級
輟,１級
勞,１級 / 準１級
禍,準２級
喩,２級
糅,１級
袵,１級
斉,準２級
嚠,１級
姆,１級
国,９級
杳,１級
赭,１級
煖,１級
蒔,準１級
鮟,１級
垓,１級
誄,１級
鯨,３級
飜,１級
皴,１級
芦,１級
幺,１級
医,８級
廝,１級
崕,準１級
羮,対象外
灯,７級
畍,対象外
茣,１級
柬,１級
穆,準１級
窗,対象外
爭,１級 / 準１級
幻,３級
杵,準１級
閻,１級
姉,９級
慊,１級
囿,１級
芫,１級
垠,１級
悠,準２級
顕,準２級
幼,５級
酲,１級
蒙,準１級
灰,５級
匿,３級
煙,４級
鐫,１級
走,９級
畏,２級
誅,１級
懋,１級
轣,対象外
潦,１級
鬻,１級
恃,１級
扞,１級
蠅,準１級
鈬,対象外
厰,準１級
推,５級
瑣,１級
拓,４級
帚,１級
滿,１級 / 準１級
馼,対象外
請,３級
境,６級
瓲,１級
蓿,１級
弟,９級
虚,３級
簪,１級
債,３級
冴,準１級
繋,準１級
隘,１級
蛟,１級
別,７級
犢,１級
扠,１級
殻,準２級
恆,１級 / 準１級
帛,１級
拔,１級 / 準１級
搜,１級 / 準１級
掩,準１級
弥,２級
潭,１級
樊,１級
虜,準２級
蹤,１級
縊,１級
鞭,準１級
瑤,１級 / 準１級
况,対象外
刧,対象外
瓶,準２級
駁,準１級
諌,準１級
舷,２級
蕕,１級
霙,１級
咬,１級
檳,１級
碯,対象外
撥,１級
仞,１級
豚,３級
否,５級
汲,準１級
捍,１級
唾,２級
癢,１級
徼,１級
砕,準２級
逾,１級
戒,４級
晟,１級
楡,１級
螫,１級
観,７級
鋏,１級
憂,３級
褐,準２級
讀,１級 / 準１級
鶫,１級
改,７級
藹,１級
質,６級
膳,２級
謁,準２級
瀏,１級
龠,１級
街,７級
迷,６級
自,９級
雕,１級
尊,５級
仟,１級
咯,対象外
舸,１級
騙,１級
象,"７級
※補足欄参照"
吩,１級
汳,対象外
称,４級
鰥,１級
霜,準２級
蜻,１級
臭,準２級
篝,１級
捏,１級
无,対象外
碵,対象外
砠,１級
攻,４級
燐,準１級
髮,１級 / 準１級
梺,１級
淮,対象外
俤,１級
統,６級
椎,２級
寔,１級
許,６級
降,５級
嶷,１級
廟,準１級
珊,準１級
乙,３級
併,準２級
九,１０級
夅,対象外
奈,"２級
※補足欄参照"
鵁,１級
乞,２級
喪,準２級
深,８級
釀,１級 / 準１級
椏,１級
梼,準１級
陏,対象外
鷽,１級
俥,１級
壞,１級 / 準１級
也,準１級
燒,１級 / 準１級
奉,３級
爰,１級
貴,５級
安,８級
茨,"２級
※補足欄参照"
鮠,１級
者,８級
儒,準２級
麦,９級
猴,１級
影,４級
桜,６級
襯,１級
堪,準２級
笵,１級
繍,準１級
紙,９級
暼,対象外
歯,８級
弦,準２級
頑,準２級
瞭,２級
莵,準１級
宋,準１級
態,６級
溥,１級
罧,１級
區,１級 / 準１級
煢,１級
麩,１級
耆,１級
嬬,準１級
斌,準１級
禎,準１級
爲,１級 / 準１級
薨,１級
竡,１級
躾,１級
惹,準１級
擯,１級
榻,１級
錺,１級
茫,１級
誇,４級
貶,１級
輦,１級
續,１級 / 準１級
袷,準１級
齒,１級 / 準１級
桝,１級
完,７級
弧,３級
級,８級
笶,対象外
糊,準１級
崖,２級
皷,対象外
聶,１級
杷,準１級
圀,１級
婪,１級
綾,準１級
幽,３級
柮,１級
嘱,３級
窘,１級
萪,対象外
餮,１級
黥,１級
兢,１級
墅,１級
箏,１級
憇,対象外
浸,４級
灸,準１級
鯰,１級
濂,対象外
豢,１級
港,８級
鱶,１級
鎹,１級
羯,１級
捐,１級
證,１級 / 準１級
患,準２級
食,９級
鈷,準１級
冶,２級
痾,１級
杼,１級
柯,１級
礦,準１級
剿,１級
崗,対象外
瑩,１級
婬,１級
幾,４級
潮,５級
灼,準１級
圃,準１級
職,６級
浹,１級
橘,準１級
墓,６級
捕,４級
皸,１級
綿,６級
萬,１級 / 準１級
嘲,２級
朔,準１級
胞,３級
蕗,準１級
屮,対象外
扣,１級
垢,準１級
始,８級
眛,１級
戔,１級
咲,４級
郎,４級
蔀,準１級
踈,対象外
嚢,準１級
疏,準１級
腥,１級
芬,１級
泪,１級
偃,１級
屯,準２級
赱,対象外
措,３級
畐,対象外
扨,１級
利,７級
謂,準１級
恊,１級
虞,準２級
眞,１級 / 準１級
姐,準１級
朕,準２級
胡,準１級
簫,１級
泯,１級
郛,１級
垣,準２級
芭,準１級
咳,準１級
赳,１級
山,１０級
棄,３級
酳,１級
腦,１級 / 準１級
駄,準２級
奎,１級
縋,１級
鐵,１級 / 準１級
屶,１級
畑,８級
蕘,１級
遵,３級
踉,１級
或,準１級
假,１級 / 準１級
刪,１級
蔆,対象外
疑,５級
扮,準１級
鞳,１級
代,８級
儔,１級
傷,５級
帝,３級
欟,対象外
佶,１級
絲,１級 / 準１級
厳,５級
檸,１級
楢,準１級
隙,２級
癧,１級
籬,１級
褒,準２級
至,５級
船,９級
轤,１級
尋,４級
徽,準１級
穉,対象外
螯,１級
搦,１級
砥,準１級
願,７級
犧,１級 / 準１級
鶯,準１級
帥,準２級
霞,準１級
募,３級
佻,１級
致,４級
蜿,１級
瀑,１級
瓷,１級
絳,１級
諍,１級
鰭,準１級
以,７級
際,６級
艀,１級
蹲,１級
儕,１級
歳,４級
面,８級
迸,１級
蠍,１級
啀,１級
髯,１級
覺,１級 / 準１級
撩,１級
遁,準１級
頒,準２級
賭,２級
決,８級
溪,１級 / 準１級
閼,１級
旡,対象外
鬼,４級
拗,１級
靤,１級
限,６級
殼,１級 / 準１級
衙,１級
軅,対象外
袿,１級
喫,３級
宍,準１級
鵄,１級
蒜,準１級
劃,準１級
冷,７級
藺,１級
既,３級
確,６級
啄,準１級
騨,準１級
