身,７画
履,１５画
腔,１２画
應,１７画
鴻,１７画
猫,１１画
激,１６画
鮗,１６画
婚,１１画
礒,１８画
鯤,１９画
禅,１３画
罕,７画
月,４画
倭,１０画
衍,９画
榱,１４画
潤,１５画
老,６画
崑,１１画
彭,１２画
畋,９画
躬,１０画
敫,１３画
瀉,１８画
鬲,１０画
茘,９画
有,６画
型,９画
幹,１３画
剴,１２画
袱,１１画
簧,１８画
莪,１０画
飛,９画
固,８画
絨,１２画
淫,１１画
献,１３画
謾,１８画
爪,４画
朋,８画
耂,４画
婢,１１画
腕,１２画
躯,１１画
窖,１２画
閹,１６画
界,９画
屬,２１画
崔,１１画
橈,１６画
鴾,１７画
爬,８画
罘,９画
火,４画
衒,１１画
倶,１０画
考,６画
茜,９画
懊,１６画
碪,１４画
竟,１１画
妻,８画
蕎,１５画
波,８画
柧,１０画
東,８画
帖,８画
悛,１０画
滾,１４画
煕,１４画
痴,１３画
眈,９画
點,１７画
貳,１２画
輜,１５画
胚,９画
誂,１３画
浮,１０画
瑠,１４画
繊,１７画
義,１３画
綻,１４画
匸,２画
螢,１６画
初,７画
鐡,２０画
恂,９画
捌,１０画
傴,１３画
擧,１７画
顔,１８画
匹,４画
妾,８画
楠,１３画
泣,８画
鈩,１２画
馴,１３画
鰤,２１画
帙,８画
杲,８画
欝,２５画
眉,９画
柩,９画
鞫,１８画
判,７画
章,１１画
輝,１５画
胛,９画
縉,１６画
区,４画
悟,１０画
浴,１０画
痺,１３画
旙,１６画
虔,１０画
信,９画
蟾,１９画
陋,９画
瓰,９画
砒,９画
襭,２０画
鶩,２０画
芟,７画
托,６画
雎,１３画
弗,５画
殷,１０画
燎,１６画
厮,１４画
犠,１７画
徹,１５画
箋,１４画
蓼,１４画
龝,２１画
咫,９画
嶮,１６画
冲,６画
談,１５画
藷,１９画
穃,１５画
慾,１５画
謀,１６画
隗,１３画
弘,５画
俣,９画
處,１１画
研,９画
芥,７画
扛,６画
逼,１３画
瓱,９画
験,１８画
陌,９画
臨,１８画
雑,１４画
决,６画
旛,１８画
殺,１０画
蜷,１４画
弛,６画
乗,９画
仗,５画
篌,１５画
録,１６画
樂,１５画
髭,１６画
第,１１画
郁,９画
榲,１４画
覲,１８画
靠,１５画
檮,１８画
儉,１５画
搖,１３画
吟,７画
汪,７画
蒐,１３画
赫,１４画
譽,２０画
餬,１８画
佰,８画
