身,身 （み・みへん）
履,尸 （しかばね・かばね・しかばねかんむり）
腔,肉 月 （にく・にくづき）
應,心 忄 （こころ・したごころ・りっしんべん）
鴻,鳥 （とり・とりへん）
猫,犬 犭 （いぬ・けものへん）
激,水 氵 氺 （みず・さんずい・したみず）
鮗,魚 （うお・うおへん・さかなへん）
婚,女 （おんな・おんなへん）
礒,石 （いし・いしへん）
鯤,魚 （うお・うおへん・さかなへん）
禅,示 礻 （しめす・しめすへん）
罕,网 罒 㓁 （あみがしら・あみめ）
月,月 （つき・つきへん）
倭,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
衍,行 （ぎょう・ぎょうがまえ・ゆきがまえ）
榱,木 （き・きへん）
潤,水 氵 氺 （みず・さんずい・したみず）
老,老 耂 （おいかんむり・おいがしら・おい）
崑,山 （やま・やまへん・やまかんむり）
彭,彡 （さんづくり）
畋,攴 攵 （ぼくにょう・ぼくづくり・とまた・のぶん）
畋,田 （た・たへん）
躬,身 （み・みへん）
敫,攴 攵 （ぼくにょう・ぼくづくり・とまた・のぶん）
瀉,水 氵 氺 （みず・さんずい・したみず）
鬲,鬲 （かなえ・れき）
茘,艸 艹 （くさ・くさかんむり・そうこう）
有,月 （つき・つきへん）
型,土 （つち・つちへん・どへん）
幹,干 （かん・いちじゅう・ほす）
剴,刀 刂 （かたな・りっとう）
袱,衣 衤 （ころも・ころもへん）
簧,竹 （たけ・たけかんむり）
莪,艸 艹 （くさ・くさかんむり・そうこう）
飛,飛 （とぶ）
固,囗 （くにがまえ）
絨,糸 （いと・いとへん）
淫,水 氵 氺 （みず・さんずい・したみず）
献,犬 犭 （いぬ・けものへん）
謾,言 （げん・ごんべん・ことば）
爪,爪 爫 （つめ・つめかんむり・つめがしら・そうにょう・のつ）
朋,月 （つき・つきへん）
耂,老 耂 （おいかんむり・おいがしら・おい）
婢,女 （おんな・おんなへん）
腕,肉 月 （にく・にくづき）
躯,身 （み・みへん）
窖,穴 （あな・あなかんむり）
閹,門 （もん・もんがまえ・かどがまえ）
界,田 （た・たへん）
屬,尸 （しかばね・かばね・しかばねかんむり）
崔,山 （やま・やまへん・やまかんむり）
橈,木 （き・きへん）
鴾,鳥 （とり・とりへん）
爬,爪 爫 （つめ・つめかんむり・つめがしら・そうにょう・のつ）
罘,网 罒 㓁 （あみがしら・あみめ）
火,火 灬 （ひ・ひへん・れっか・れんが）
衒,行 （ぎょう・ぎょうがまえ・ゆきがまえ）
倶,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
考,老 耂 （おいかんむり・おいがしら・おい）
茜,艸 艹 （くさ・くさかんむり・そうこう）
懊,心 忄 （こころ・したごころ・りっしんべん）
碪,石 （いし・いしへん）
竟,立 （たつ・たつへん）
妻,女 （おんな・おんなへん）
蕎,艸 艹 （くさ・くさかんむり・そうこう）
波,水 氵 氺 （みず・さんずい・したみず）
柧,木 （き・きへん）
東,木 （き・きへん）
帖,巾 （はば・はばへん・きんべん）
悛,心 忄 （こころ・したごころ・りっしんべん）
滾,水 氵 氺 （みず・さんずい・したみず）
煕,火 灬 （ひ・ひへん・れっか・れんが）
痴,疒 （やまいだれ）
眈,目 罒 （め・めへん）
點,黒 黑 （くろ）
貳,貝 （かい・かいへん・こがい）
貳,弋 （しきがまえ・よく）
輜,車 （くるま・くるまへん）
胚,肉 月 （にく・にくづき）
誂,言 （げん・ごんべん・ことば）
浮,水 氵 氺 （みず・さんずい・したみず）
瑠,玉 王 （たま・たまへん・おう・おうへん）
繊,糸 （いと・いとへん）
義,羊 （ひつじ・ひつじへん）
綻,糸 （いと・いとへん）
匸,匸 （かくしがまえ）
螢,虫 （むし・むしへん）
初,刀 刂 （かたな・りっとう）
鐡,金 （かね・かねへん）
恂,心 忄 （こころ・したごころ・りっしんべん）
捌,手 扌 （て・てへん）
傴,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
擧,手 扌 （て・てへん）
顔,頁 （おおがい・いちのかい）
匹,匸 （かくしがまえ）
匹,匚 （はこがまえ）
妾,女 （おんな・おんなへん）
楠,木 （き・きへん）
泣,水 氵 氺 （みず・さんずい・したみず）
鈩,金 （かね・かねへん）
馴,馬 （うま・うまへん）
鰤,魚 （うお・うおへん・さかなへん）
帙,巾 （はば・はばへん・きんべん）
杲,日 （ひ・ひへん・にち・にちへん）
杲,木 （き・きへん）
欝,木 （き・きへん）
眉,目 罒 （め・めへん）
柩,木 （き・きへん）
鞫,革 （かわへん・かくのかわ・つくりがわ）
鞫,言 （げん・ごんべん・ことば）
判,刀 刂 （かたな・りっとう）
章,立 （たつ・たつへん）
輝,車 （くるま・くるまへん）
胛,肉 月 （にく・にくづき）
縉,糸 （いと・いとへん）
区,匸 （かくしがまえ）
区,匚 （はこがまえ）
悟,心 忄 （こころ・したごころ・りっしんべん）
浴,水 氵 氺 （みず・さんずい・したみず）
痺,疒 （やまいだれ）
旙,方 （ほう・ほうへん・かたへん）
虔,虍 （とらかんむり・とらがしら・とら）
信,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
蟾,虫 （むし・むしへん）
陋,阜 阝 （こざと・こざとへん・おか）
瓰,瓦 （かわら）
砒,石 （いし・いしへん）
襭,衣 衤 （ころも・ころもへん）
鶩,鳥 （とり・とりへん）
芟,艸 艹 （くさ・くさかんむり・そうこう）
托,手 扌 （て・てへん）
雎,隹 （ふるとり）
弗,弓 （ゆみ・ゆみへん）
殷,殳 （ほこづくり・るまた）
燎,火 灬 （ひ・ひへん・れっか・れんが）
厮,厂 （がんだれ）
犠,牛 牜 （うし・うしへん）
徹,彳 （ぎょうにんべん）
箋,竹 （たけ・たけかんむり）
蓼,艸 艹 （くさ・くさかんむり・そうこう）
龝,禾 （のぎ・のぎへん）
咫,口 （くち・くちへん）
嶮,山 （やま・やまへん・やまかんむり）
冲,冫 （にすい）
談,言 （げん・ごんべん・ことば）
藷,艸 艹 （くさ・くさかんむり・そうこう）
穃,禾 （のぎ・のぎへん）
慾,心 忄 （こころ・したごころ・りっしんべん）
謀,言 （げん・ごんべん・ことば）
隗,阜 阝 （こざと・こざとへん・おか）
弘,弓 （ゆみ・ゆみへん）
俣,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
處,虍 （とらかんむり・とらがしら・とら）
研,石 （いし・いしへん）
芥,艸 艹 （くさ・くさかんむり・そうこう）
扛,手 扌 （て・てへん）
逼,辵 辶 （しんにょう・しんにゅう）
瓱,瓦 （かわら）
験,馬 （うま・うまへん）
陌,阜 阝 （こざと・こざとへん・おか）
臨,臣 （しん）
雑,隹 （ふるとり）
决,冫 （にすい）
旛,方 （ほう・ほうへん・かたへん）
殺,殳 （ほこづくり・るまた）
蜷,虫 （むし・むしへん）
弛,弓 （ゆみ・ゆみへん）
乗,丿 （の・はらいぼう）
仗,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
篌,竹 （たけ・たけかんむり）
録,金 （かね・かねへん）
樂,木 （き・きへん）
髭,髟 （かみがしら・かみかんむり）
第,竹 （たけ・たけかんむり）
郁,邑 阝 （おおざと・むら）
榲,木 （き・きへん）
覲,見 （みる）
靠,非 （あらず・ひ）
檮,木 （き・きへん）
儉,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
搖,手 扌 （て・てへん）
吟,口 （くち・くちへん）
汪,水 氵 氺 （みず・さんずい・したみず）
蒐,艸 艹 （くさ・くさかんむり・そうこう）
赫,赤 （あか・あかへん）
譽,言 （げん・ごんべん・ことば）
餬,食 飠 （しょく・しょくへん）
佰,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
控,手 扌 （て・てへん）
述,辵 辶 （しんにょう・しんにゅう）
付,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
唹,口 （くち・くちへん）
嬪,女 （おんな・おんなへん）
郊,邑 阝 （おおざと・むら）
齏,韭 （にら）
齏,斉 齊 （せい）
乘,丿 （の・はらいぼう）
暹,日 （ひ・ひへん・にち・にちへん）
褌,衣 衤 （ころも・ころもへん）
酬,酉 （ひよみのとり・とりへん・さけのとり・こよみのとり）
汰,水 氵 氺 （みず・さんずい・したみず）
笳,竹 （たけ・たけかんむり）
蛞,虫 （むし・むしへん）
鴿,鳥 （とり・とりへん）
吠,口 （くち・くちへん）
錵,金 （かね・かねへん）
蹣,足 （あし・あしへん）
仙,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
榴,木 （き・きへん）
樅,木 （き・きへん）
驩,馬 （うま・うまへん）
佳,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
篏,竹 （たけ・たけかんむり）
靡,非 （あらず・ひ）
迴,辵 辶 （しんにょう・しんにゅう）
搗,手 扌 （て・てへん）
惶,心 忄 （こころ・したごころ・りっしんべん）
拑,手 扌 （て・てへん）
晝,日 （ひ・ひへん・にち・にちへん）
癡,疒 （やまいだれ）
成,戈 （ほこづくり・ほこがまえ・ほこ・かのほこ）
服,月 （つき・つきへん）
珂,玉 王 （たま・たまへん・おう・おうへん）
紗,糸 （いと・いとへん）
創,刀 刂 （かたな・りっとう）
宇,宀 （うかんむり）
嘯,口 （くち・くちへん）
撤,手 扌 （て・てへん）
遯,辵 辶 （しんにょう・しんにゅう）
霖,雨 （あめ・あめかんむり・あまかんむり）
彰,彡 （さんづくり）
秩,禾 （のぎ・のぎへん）
專,寸 （すん）
濁,水 氵 氺 （みず・さんずい・したみず）
聴,耳 （みみ・みみへん）
梹,木 （き・きへん）
醺,酉 （ひよみのとり・とりへん・さけのとり・こよみのとり）
攷,攴 攵 （ぼくにょう・ぼくづくり・とまた・のぶん）
躰,身 （み・みへん）
腟,肉 月 （にく・にくづき）
鎰,金 （かね・かねへん）
舶,舟 （ふね・ふねへん）
罟,网 罒 㓁 （あみがしら・あみめ）
奄,大 （だい）
寓,宀 （うかんむり）
瀋,水 氵 氺 （みず・さんずい・したみず）
跿,足 （あし・あしへん）
銹,金 （かね・かねへん）
譁,言 （げん・ごんべん・ことば）
倹,人 亻 （ひと・にんべん・ひとがしら・ひとやね）
朏,月 （つき・つきへん）
賦,貝 （かい・かいへん・こがい）
絮,糸 （いと・いとへん）
堤,土 （つち・つちへん・どへん）
預,頁 （おおがい・いちのかい）
拒,手 扌 （て・てへん）
設,言 （げん・ごんべん・ことば）
溢,水 氵 氺 （みず・さんずい・したみず）
植,木 （き・きへん）
我,戈 （ほこづくり・ほこがまえ・ほこ・かのほこ）
守,宀 （うかんむり）
晞,日 （ひ・ひへん・にち・にちへん）
惷,心 忄 （こころ・したごころ・りっしんべん）
術,行 （ぎょう・ぎょうがまえ・ゆきがまえ）
紘,糸 （いと・いとへん）
鑽,金 （かね・かねへん）
薦,艸 艹 （くさ・くさかんむり・そうこう）
珈,玉 王 （たま・たまへん・おう・おうへん）
攸,攴 攵 （ぼくにょう・ぼくづくり・とまた・のぶん）
剽,刀 刂 （かたな・りっとう）
壜,土 （つち・つちへん・どへん）
奇,大 （だい）
尉,寸 （すん）
橋,木 （き・きへん）
籥,竹 （たけ・たけかんむり）
躱,身 （み・みへん）
遲,辵 辶 （しんにょう・しんにゅう）
罠,网 罒 㓁 （あみがしら・あみめ）
秬,禾 （のぎ・のぎへん）
歩,止 （とめる・とめへん）
疋,疋 （ひき・ひきへん）
桔,木 （き・きへん）
泥,水 氵 氺 （みず・さんずい・したみず）
禊,示 礻 （しめす・しめすへん）
黠,黒 黑 （くろ）
喨,口 （くち・くちへん）
看,目 罒 （め・めへん）
文,文 （ぶん・ぶんにょう）
勝,力 （ちから）
袴,衣 衤 （ころも・ころもへん）
綽,糸 （いと・いとへん）
莫,艸 艹 （くさ・くさかんむり・そうこう）
麥,麥 麦 （むぎ・むぎへん・ばくにょう）
礙,石 （いし・いしへん）
淬,水 氵 氺 （みず・さんずい・したみず）
箍,竹 （たけ・たけかんむり）
萩,艸 艹 （くさ・くさかんむり・そうこう）
疎,疋 （ひき・ひきへん）
瞬,目 罒 （め・めへん）
耄,老 耂 （おいかんむり・おいがしら・おい）
婦,女 （おんな・おんなへん）
渮,水 氵 氺 （みず・さんずい・したみず）
擬,手 扌 （て・てへん）
胝,肉 月 （にく・にくづき）
兜,儿 （にんにょう・ひとあし）
斈,子 （こ・こへん・こども・こどもへん）
猯,犬 犭 （いぬ・けものへん）
歪,止 （とめる・とめへん）
纉,糸 （いと・いとへん）
海,水 氵 氺 （みず・さんずい・したみず）
桙,木 （き・きへん）
注,水 氵 氺 （みず・さんずい・したみず）
県,目 罒 （め・めへん）
膰,肉 月 （にく・にくづき）
鷺,鳥 （とり・とりへん）
痼,疒 （やまいだれ）
莱,艸 艹 （くさ・くさかんむり・そうこう）
輟,車 （くるま・くるまへん）
勞,力 （ちから）
禍,示 礻 （しめす・しめすへん）
喩,口 （くち・くちへん）
