身,【小】 シン
履,【中】 リ
腔,クウ
腔,コウ
應,オウ [１] [２]
鴻,コウ
猫,【高】 ビョウ
猫,【△】 ミョウ
激,【小】 ゲキ
婚,【中】 コン
礒,ギ
鯤,コン
禅,【中】 ゼン [１] [２]
禅,【△】 セン [１] [２]
罕,カン
月,【小】 ガツ
月,【小】 ゲツ
倭,イ [１]
倭,ワ [２]
衍,エン
榱,スイ
潤,【中】 ジュン
老,【小】 ロウ
崑,コン
彭,ホウ [１] [２]
畋,テン
畋,デン
躬,キュウ
敫,キョウ
敫,ヤク
瀉,シャ
鬲,カク [２]
鬲,レキ [１]
茘,リ
茘,レイ
有,【小】 ユウ [１] [２]
有,【中】 ウ [１] [２]
型,【小】 ケイ
幹,【小】 カン
剴,ガイ
袱,フク
袱,ホク
簧,コウ
莪,ガ
飛,【小】 ヒ
固,【小】 コ
絨,ジュウ
淫,【中】 イン
献,【中】 ケン
献,【中】 コン
謾,バン
謾,マン
爪,【△】 ソウ
朋,ホウ
耂,ロウ
婢,ヒ
腕,【中】 ワン
躯,ク
窖,コウ
閹,エン
界,【小】 カイ
屬,ゾク
屬,ショク
崔,サイ [１] [３]
崔,スイ [２]
橈,ジョウ [２]
橈,ドウ [１]
橈,ニョウ [１] [２]
鴾,ボウ
鴾,ム
爬,ハ
罘,フ
罘,フウ
火,【小】 カ
火,【△】 コ
衒,ゲン
倶,ク
倶,グ
考,【小】 コウ
茜,セン
懊,オウ
碪,ガン
碪,チン
竟,キョウ
竟,ケイ
妻,【小】 サイ [１] [２]
妻,【△】 セイ [１] [２]
蕎,キョウ
波,【小】 ハ
柧,コ
東,【小】 トウ
帖,ジョウ
帖,チョウ
悛,シュン
滾,コン
煕,キ
痴,【中】 チ
眈,タン
點,テン
貳,ニ
貳,ジ
輜,シ
胚,ハイ
誂,チョウ
浮,【中】 フ
浮,【△】 ブ
浮,【△】 フウ
瑠,【中】 ル
繊,【中】 セン
繊,【△】 チン
義,【小】 ギ
綻,【中】 タン
匸,ケイ
匸,ゲイ
螢,ケイ
初,【小】 ショ
初,【△】 ソ
鐡,テツ
恂,シュン [１] [２]
恂,ジュン [１]
捌,ハチ
捌,ハツ
捌,ベツ
傴,ウ
擧,キョ
顔,【小】 ガン
匹,【中】 ヒツ
匹,【△】 ヒキ
妾,ショウ
楠,ナン
泣,【中】 キュウ
鈩,ル
鈩,ロ
馴,クン
馴,シュン
馴,ジュン
鰤,シ
帙,チツ
杲,コウ
欝,ウツ
眉,【中】 ミ
眉,【高】 ビ
柩,キュウ
鞫,キク
判,【小】 ハン
判,【小】 バン
判,【△】 ホウ
章,【小】 ショウ
輝,【中】 キ
胛,コウ
縉,シン
区,【小】 ク [１]
区,【△】 オウ [２]
悟,【中】 ゴ
浴,【小】 ヨク
痺,ヒ
旙,ハン
旙,バン
虔,ケン
信,【小】 シン [１] [２]
蟾,セン
陋,ロウ
砒,ヒ
襭,ケツ
鶩,ブ
鶩,ボク
芟,サン
芟,セン
托,タク
雎,ショ
弗,フツ
弗,ホツ
殷,アン [３]
殷,イン [１] [２]
燎,リョウ
厮,シ
犠,【中】 ギ
犠,【△】 キ
徹,【中】 テツ
箋,【中】 セン
蓼,リク [２]
蓼,リョウ [１]
龝,シュウ
咫,シ
嶮,ケン
冲,チュウ
談,【小】 ダン
談,【△】 タン
藷,ショ
穃,ヨウ
慾,ヨク
謀,【中】 ボウ
謀,【高】 ム
隗,カイ
弘,グ
弘,コウ
處,ショ [１] [２]
處,ソ [１] [２]
研,【小】 ケン [１] [２]
研,【△】 ゲン [１] [２]
芥,カイ
芥,ケ
扛,コウ
逼,ヒツ
逼,ヒョク
験,【小】 ケン
験,【高】 ゲン
陌,ハク
陌,バク
臨,【小】 リン
雑,【小】 ザツ
雑,【小】 ゾウ
决,ケツ
旛,ハン
旛,バン
殺,【小】 サツ [１]
殺,【高】 サイ [２]
殺,【高】 セツ [１]
蜷,ケン
弛,シ
弛,チ
乗,【小】 ジョウ [１] [２]
乗,【△】 ショウ [１] [２]
仗,ジョウ
篌,ゴ
篌,コウ
録,【小】 ロク [１]
