身,①み。からだ。「身体」「病身」 <misc:対>心 ②おのれ。みずから。じぶん。「自身」「立身」 ③物のなかみ。本体。「刀身」「砲身」
履,①はきもの（履物）。くつ。また、はきものをはく。「弊履」「草履」 ②ふむ。ふみおこなう。実行する。「履行」「履歴」
腔,①から。体内の中空になっている部分。「腔腸」「口腔」 ②からだ。「満腔」
應,①こたえる。うけこたえる。「応酬」「応答」「呼応」<misc:対>呼 ②したがう。状況に合った動きをする。「応急」「感応」「順応」 ③ふさわしい。「応分」「相応」 ④まさに…べし。
鴻,①おおとり。大形の水鳥。クグイ・ヒシクイなど。「鴻鵠(コウコク)」「鴻毛」 ②おおきい。広い。「鴻恩」<misc:類>洪
猫,ねこ。ネコ科の哺乳(ホニュウ)動物。「猫額」
激,①はげしい。はなはだしい。きびしい。「激流」「過激」 ②はげます。ふるいたたせる。「激励」 ③はげしく心が動く。たかぶる。「激怒」「憤激」
鮗,このしろ。ニシン科の海魚。紡錘(ボウスイ)形で左右に平たく、背びれの後端が長い。食用。
婚,夫婦になる。縁組みをする。よめとり。むことり。「婚姻」「婚礼」「結婚」
礒,①いわ。いわお。岩石のつき出るさま。 ②いそ（磯）。石の多い波打ちぎわ。
鯤,①はららご。魚のたまご。 ②想像上の大魚の名。「鯤鵬(コンホウ)」<misc:類>鰥(カン)
禅,①ゆずる。天子が位を譲る。「禅位」「禅譲」 ②仏教の一派。禅宗のこと。 ③精神を統一して真理を悟ること。「禅定(ゼンジョウ)」「禅僧」「座禅」
罕,①とりあみ。鳥をとるあみ。 ②まれに。たまに。 ③はた（旗）。「旌罕(セイカン)」
月,①つき。天体の一つ。地球の衛星。「月光」「満月」<misc:対>日 ②としつき。一年を一二分にした期間。「歳月」「年月」 ③七曜の一つ。月曜。
倭,やまと。日本。昔、中国で日本を呼んだ名。「倭寇(ワコウ)」「倭人」<misc:類>和
衍,①はびこる。あふれる。「蔓衍(マンエン)」 ②しく。ひろげる。ひろがる。「衍義」「敷衍」 ③あまり。余分な。「衍字」「衍文」<misc:類>羨(セン) ④ひろい。おおきい。
榱,たるき（垂木）。屋根を支えるために、棟から軒に渡す横木。「榱桷(スイカク)」
潤,①うるおう。うるおす。水分をふくむ。「潤滑」「潤湿」 <misc:対>燥 ②うるおい。めぐみ。利益。「潤沢」「利潤」 ③かざる。つやを出す。りっぱに見える。「潤色」「潤飾」
老,①おいる。ふける。年をとる。また、年をとった人。「老化」「敬老」<misc:対>若・少・幼 ②年をとって徳の高い人。「老公」「長老」 ③経験をつむ。「老成」「老練」 ④中国の思想家、老子。
崑,山の名「崑崙(コンロン)」に用いられる字。「崑丘」
彭,さかんなさま。「彭彭」
畋,①たがやす。耕作する。<misc:類>佃(デン) ②かり。狩りをする。かる。
躬,①み。からだ。 ②みずから。自分で。「躬化」「躬行」「躬耕」
瀉,①そそぐ。水をそそぎ流す。流れ出る。「瀉血」「瀉出」 ②はく。食べ物をはきだす。くだる。くだす。「瀉痢」「吐瀉」 ③しおつち。塩分をふくんだ土。
茘,①おおにら。ユリ科の多年草。 ②植物の「茘枝(レイシ)」に用いられる字。
有,①ある。存在する。「有益」「有事」<misc:対>無 ②もつ。持っている。備えている。「国有」「所有」 ③また。さらに。「十有余年」
型,①かた。いがた。もとになる形。「原型」 ②もはんとなるもの。てほん。「典型」 ③柔道・剣道・能楽などの基本の動作。
幹,①みき。物事の主要な部分。もと。「幹枝」「幹線」「幹部」 ②はたらき。わざ。うでまえ。「幹才」
剴,①きる。こする。 ②あたる。あてはまる。「剴切」
袱,ふくさ（袱紗）。物を包む布。ふろしき。
簧,①した。ふえの舌。吹くと振動して音を出すもの。 ②笙(ショウ)のふえ。
莪,①つのよもぎ。ヨモギ（キク科の多年草）の一種。「菁莪(セイガ)」 ②きつねあざみ。アザミ（キク科の多年草）の一種。
飛,①空をとぶ。「飛行」「雄飛」 ②とびあがる。とびちる。「飛散」「飛躍」 ③とばす。速く行く。急な。「飛脚」「飛報」 ④たかい。「飛泉」「飛瀑(ヒバク)」 ⑤根拠のない。でたらめ。「飛語」 ⑥将棋の駒(こま)の「飛車」の略。 ⑦「飛騨(ひだ)の国」の略。「飛州」
固,①かためる。かたまる。かたい。「固体」「強固」 ②かたくな。あくまでも。しっかり。「固持」「頑固」 ③もとより。はじめから。「固有」
絨,①厚地のやわらかい毛織物。「絨緞(ジュウタン)」 ②刺繡(シシュウ)用の糸。
淫,①ひたす。ひたる。あふれる。「淫淫」「淫水」<misc:類>浸・霑(テン) ②ふける。おぼれる。度をこす。「淫雨」「淫酒」<misc:類>湛(タン)・耽(タン) ③みだら。みだれる。みだす。「淫乱」「姦淫(カンイン)」「邪淫」④ほしいまま。わがまま。⑤おおきい。はなはだしい。⑥ながあめ。「淫雨」
献,①ささげる。たてまつる。まつる。神や目上の人に物をさしあげる。「献呈」「献納」 ②客に酒をすすめる。「献酬」 ③杯に酒をつぐ回数を数える語。「一献」 ④かしこい人。「文献」
謾,①あざむく。ごまかす。「謾欺」「謾語」<misc:類>瞞(マン) ②あなどる。<misc:類>慢 ③おこたる。ゆるむ。
爪,つめ。手足のつめ。また、つめの形をしたもの。「爪痕(ソウコン)」「琴爪」
朋,とも。ともだち。なかま。「朋友」「同朋」
婢,はしため。身分の低い女性。下女。「婢妾(ヒショウ)」<misc:対>奴・僕
腕,①うで。かいな。「腕章」「腕力」 ②うでまえ（腕前）。はたらき。「手腕」「敏腕」
躯,①からだ。み。むくろ。「軀幹」「体軀」 ②仏像を数える語。
窖,①あなぐら。あな。物をたくわえるためのあな。むろ。「地窖」 ②ふかい。あなのように深い。
