禅,旧字,禪
献,旧字,獻
煕,異体字,熈
痴,旧字,癡
瑠,異体字,璢
繊,旧字,纖
顔,旧字,顏
区,旧字,區
犠,旧字,犧
龝,異体字,穐
研,旧字,硏
験,旧字,驗
雑,旧字,雜
雑,異体字,襍
殺,旧字,殺
乗,旧字,乘
録,旧字,錄
檮,異体字,梼
齏,異体字,韲
聴,旧字,聽
倹,旧字,儉
鑽,異体字,鑚
歩,旧字,步
海,旧字,海
県,旧字,縣
禍,旧字,禍
袵,異体字,衽
斉,旧字,齊
国,旧字,國
国,異体字,圀
医,旧字,醫
廝,異体字,厮
灯,旧字,燈
顕,旧字,顯
煙,異体字,烟
蠅,異体字,蝿
虚,旧字,虛
殻,旧字,殼
弥,旧字,彌
虜,旧字,虜
瓶,旧字,甁
仞,異体字,仭
砕,旧字,碎
観,旧字,觀
褐,旧字,褐
謁,旧字,謁
臭,旧字,臭
併,旧字,倂
者,旧字,者
麦,旧字,麥
桜,旧字,櫻
歯,旧字,齒
莵,異体字,菟
麩,異体字,麸
禎,旧字,禎
崖,異体字,崕
圀,旧字,國
嘱,旧字,囑
箏,異体字,筝
礦,異体字,砿
郎,旧字,郞
厳,旧字,嚴
褒,旧字,襃
鶯,異体字,鴬
既,旧字,既
訳,旧字,譯
晢,異体字,晣
福,旧字,福
斎,旧字,齋
婿,旧字,壻
婿,異体字,聟
乱,旧字,亂
桟,旧字,棧
皹,異体字,皸
炉,旧字,爐
寛,旧字,寬
廠,異体字,厰
誉,旧字,譽
駅,旧字,驛
卅,異体字,丗
讃,異体字,讚
麪,旧字,麵
朗,旧字,朗
寝,旧字,寢
真,旧字,眞
悦,旧字,悅
衛,旧字,衞
鉄,旧字,鐵
礪,異体字,砺
恋,旧字,戀
欠,旧字,缺
増,旧字,增
仮,旧字,假
迺,異体字,廼
遅,旧字,遲
憎,旧字,憎
庁,旧字,廳
歴,旧字,歷
絵,旧字,繪
広,旧字,廣
参,旧字,參
慎,旧字,愼
懐,旧字,懷
掲,旧字,揭
旧,旧字,舊
状,旧字,狀
淵,異体字,渕
